DateRange,INVertor Power (MW),SoC
03.10.2024 10:30 - 03.10.2024 10:45,25,41.56
03.10.2024 10:45 - 03.10.2024 11:00,25,47.5
03.10.2024 11:00 - 03.10.2024 11:15,0,47.5
03.10.2024 11:15 - 03.10.2024 11:30,0,47.5
03.10.2024 11:30 - 03.10.2024 11:45,0,47.5
03.10.2024 11:45 - 03.10.2024 12:00,0,47.5
03.10.2024 12:00 - 03.10.2024 12:15,25,53.44
03.10.2024 12:15 - 03.10.2024 12:30,25,59.37
03.10.2024 12:30 - 03.10.2024 12:45,25,65.31
03.10.2024 12:45 - 03.10.2024 13:00,25,71.25
03.10.2024 13:00 - 03.10.2024 13:15,25,77.19
03.10.2024 13:15 - 03.10.2024 13:30,25,83.12
03.10.2024 13:30 - 03.10.2024 13:45,25,89.06
03.10.2024 13:45 - 03.10.2024 14:00,25,95
03.10.2024 14:00 - 03.10.2024 14:15,5.26,96.25
03.10.2024 14:15 - 03.10.2024 14:30,5.26,97.5
03.10.2024 14:30 - 03.10.2024 14:45,5.26,98.75
03.10.2024 14:45 - 03.10.2024 15:00,5.26,100
03.10.2024 15:00 - 03.10.2024 15:15,0,100
03.10.2024 15:15 - 03.10.2024 15:30,0,100
03.10.2024 15:30 - 03.10.2024 15:45,0,100
03.10.2024 15:45 - 03.10.2024 16:00,0,100
03.10.2024 16:00 - 03.10.2024 16:15,-23.75,93.75
03.10.2024 16:15 - 03.10.2024 16:30,-23.75,87.5
03.10.2024 16:30 - 03.10.2024 16:45,-23.75,81.25
03.10.2024 16:45 - 03.10.2024 17:00,-23.75,75
03.10.2024 17:00 - 03.10.2024 17:15,-23.75,68.75
03.10.2024 17:15 - 03.10.2024 17:30,-23.75,62.5
03.10.2024 17:30 - 03.10.2024 17:45,-23.75,56.25
03.10.2024 17:45 - 03.10.2024 18:00,-23.75,50
03.10.2024 18:00 - 03.10.2024 18:15,-23.75,43.75
03.10.2024 18:15 - 03.10.2024 18:30,-23.75,37.5
03.10.2024 18:30 - 03.10.2024 18:45,-23.75,31.25
03.10.2024 18:45 - 03.10.2024 19:00,-23.75,25
03.10.2024 19:00 - 03.10.2024 19:15,0,25
03.10.2024 19:15 - 03.10.2024 19:30,0,25
03.10.2024 19:30 - 03.10.2024 19:45,0,25
03.10.2024 19:45 - 03.10.2024 20:00,0,25
03.10.2024 20:00 - 03.10.2024 20:15,-23.75,18.75
