DateRange,INVertor Power (MW),SoC
01.01.2024 00:00 - 01.01.2024 00:15,0.00,0.00
01.01.2024 00:15 - 01.01.2024 00:30,0.00,0.00
01.01.2024 00:30 - 01.01.2024 00:45,0.00,0.00
01.01.2024 00:45 - 01.01.2024 01:00,0.00,0.00
01.01.2024 01:00 - 01.01.2024 01:15,0.00,0.00
01.01.2024 01:15 - 01.01.2024 01:30,0.00,0.00
01.01.2024 01:30 - 01.01.2024 01:45,0.00,0.00
01.01.2024 01:45 - 01.01.2024 02:00,0.00,0.00
01.01.2024 02:00 - 01.01.2024 02:15,25.00,5.94
01.01.2024 02:15 - 01.01.2024 02:30,25.00,11.88
01.01.2024 02:30 - 01.01.2024 02:45,25.00,17.81
01.01.2024 02:45 - 01.01.2024 03:00,25.00,23.75
01.01.2024 03:00 - 01.01.2024 03:15,25.00,29.69
01.01.2024 03:15 - 01.01.2024 03:30,25.00,35.63
01.01.2024 03:30 - 01.01.2024 03:45,25.00,41.56
01.01.2024 03:45 - 01.01.2024 04:00,25.00,47.50
01.01.2024 04:00 - 01.01.2024 04:15,25.00,53.44
01.01.2024 04:15 - 01.01.2024 04:30,25.00,59.38
01.01.2024 04:30 - 01.01.2024 04:45,25.00,65.31
01.01.2024 04:45 - 01.01.2024 05:00,25.00,71.25
01.01.2024 05:00 - 01.01.2024 05:15,0.00,71.25
01.01.2024 05:15 - 01.01.2024 05:30,0.00,71.25
01.01.2024 05:30 - 01.01.2024 05:45,0.00,71.25
01.01.2024 05:45 - 01.01.2024 06:00,0.00,71.25
01.01.2024 06:00 - 01.01.2024 06:15,0.00,71.25
01.01.2024 06:15 - 01.01.2024 06:30,0.00,71.25
01.01.2024 06:30 - 01.01.2024 06:45,0.00,71.25
01.01.2024 06:45 - 01.01.2024 07:00,0.00,71.25
01.01.2024 07:00 - 01.01.2024 07:15,0.00,71.25
01.01.2024 07:15 - 01.01.2024 07:30,0.00,71.25
01.01.2024 07:30 - 01.01.2024 07:45,0.00,71.25
