DateRange,Net Power (MW),flow
23.06.2024 00:00 - 23.06.2024 00:15,0.0,0.0
23.06.2024 00:15 - 23.06.2024 00:30,0.0,0.0
23.06.2024 00:30 - 23.06.2024 00:45,0.0,0.0
23.06.2024 00:45 - 23.06.2024 01:00,0.0,0.0
23.06.2024 01:00 - 23.06.2024 01:15,0.0,0.0
23.06.2024 01:15 - 23.06.2024 01:30,0.0,0.0
23.06.2024 01:30 - 23.06.2024 01:45,0.0,0.0
23.06.2024 01:45 - 23.06.2024 02:00,0.0,0.0
23.06.2024 02:00 - 23.06.2024 02:15,0.0,0.0
23.06.2024 02:15 - 23.06.2024 02:30,0.0,0.0
23.06.2024 02:30 - 23.06.2024 02:45,0.0,0.0
23.06.2024 02:45 - 23.06.2024 03:00,0.0,0.0
23.06.2024 03:00 - 23.06.2024 03:15,0.0,0.0
23.06.2024 03:15 - 23.06.2024 03:30,0.0,0.0
23.06.2024 03:30 - 23.06.2024 03:45,0.0,0.0
23.06.2024 03:45 - 23.06.2024 04:00,0.0,0.0
23.06.2024 04:00 - 23.06.2024 04:15,0.0,0.0
23.06.2024 04:15 - 23.06.2024 04:30,0.0,0.0
23.06.2024 04:30 - 23.06.2024 04:45,0.0,0.0
23.06.2024 04:45 - 23.06.2024 05:00,0.0,0.0
23.06.2024 05:00 - 23.06.2024 05:15,0.0,0.0
23.06.2024 05:15 - 23.06.2024 05:30,0.0,0.0
23.06.2024 05:30 - 23.06.2024 05:45,0.0,0.0
23.06.2024 05:45 - 23.06.2024 06:00,0.0,0.0
23.06.2024 06:00 - 23.06.2024 06:15,0.0,0.0
23.06.2024 06:15 - 23.06.2024 06:30,0.0,0.0
23.06.2024 06:30 - 23.06.2024 06:45,0.0,0.0
23.06.2024 06:45 - 23.06.2024 07:00,0.0,0.0
23.06.2024 07:00 - 23.06.2024 07:15,0.0,0.0
23.06.2024 07:15 - 23.06.2024 07:30,0.0,0.0
23.06.2024 07:30 - 23.06.2024 07:45,0.0,0.0
23.06.2024 07:45 - 23.06.2024 08:00,0.0,0.0
23.06.2024 08:00 - 23.06.2024 08:15,0.0,0.0
23.06.2024 08:15 - 23.06.2024 08:30,0.0,0.0
23.06.2024 08:30 - 23.06.2024 08:45,0.0,0.0
23.06.2024 08:45 - 23.06.2024 09:00,0.0,0.0
23.06.2024 09:00 - 23.06.2024 09:15,25.0,5.94
23.06.2024 09:15 - 23.06.2024 09:30,25.0,5.94
23.06.2024 09:30 - 23.06.2024 09:45,25.0,5.94
23.06.2024 09:45 - 23.06.2024 10:00,25.0,5.94
23.06.2024 10:00 - 23.06.2024 10:15,25.0,5.94
23.06.2024 10:15 - 23.06.2024 10:30,25.0,5.94
